"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer"
"482344 (2011 WL15)",Y,Y,1.352,0.2819,18.39,72.91,170.72,234.60,,,,,0.627,2460600.5,0.0391,1.57,"Otto Matic"
"482467 (2012 LK9)",Y,Y,2.512,0.6197,10.14,61.84,314.59,350.14,,,,,0.2476,2460600.5,0.0473,3.98,"Otto Matic"
"482488 (2012 SW20)",Y,Y,2.462,0.6785,10.16,209.59,62.39,63.97,,,,,0.2552,2460600.5,0.00269,3.86,"Otto Matic"
"482650 (2013 BK18)",Y,Y,1.626,0.4947,28.88,137.69,64.68,217.81,,,4.69,,0.4751,2460600.5,0.0229,2.07,"Otto Matic"
"482766 (2013 GF69)",Y,Y,1.967,0.4976,10.01,174.89,153.19,357.04,,,,,0.3574,2460600.5,0.0144,2.76,"Otto Matic"
"482796 (2013 QJ10)",Y,Y,0.9592,0.4251,18.15,327.43,243.87,31.68,,,14.5,,1.049,2460600.5,0.0246,0.939,"Otto Matic"
"482798 (2013 QK48)",Y,Y,1.586,0.8298,18.97,141.41,47.18,269.75,,,,,0.4936,2460600.5,0.0261,2,"Otto Matic"
"483422 (2000 CE59)",Y,Y,1.138,0.1668,12.26,318.62,307.53,16.23,,,3.623,,0.8123,2460600.5,0.00768,1.21,"Otto Matic"
"483423 (2000 DO1)",Y,Y,1.43,0.6818,3.46,335.78,302.82,110.43,,,,,0.5764,2460600.5,0.0137,1.71,"Otto Matic"
"483432 (2001 DF47)",Y,Y,1.215,0.3708,18.47,146.62,260.28,293.85,,,,,0.7358,2460600.5,0.0174,1.34,"Otto Matic"
"483508 (2003 CR1)",Y,Y,1.453,0.4628,12.72,310.93,101.97,179.82,0.202,,26.39,,0.563,2460600.5,0.0276,1.75,"Otto Matic"
"483560 (2004 BV1)",Y,Y,1.463,0.3673,12.16,96.74,223.28,16.85,,,5.8124,,0.557,2460600.5,0.012,1.77,"Otto Matic"
"483989 (2006 CY10)",Y,Y,1.96,0.4841,6.77,32.50,167.39,274.89,,,,,0.3591,2460600.5,0.0147,2.74,"Otto Matic"
"484402 (2007 XH16)",Y,Y,1.187,0.2348,27.43,91.27,58.32,323.00,0.452,,3.6342,,0.7621,2460600.5,0.0145,1.29,"Otto Matic"
"484506 (2008 ER7)",Y,Y,1.486,0.6241,2.24,323.41,81.04,117.92,,,,,0.5438,2460600.5,0.00119,1.81,"Otto Matic"
"484517 (2008 EC69)",Y,Y,2.752,0.6194,24.84,93.22,178.15,208.03,,,,,0.2159,2460600.5,0.0324,4.57,"Otto Matic"
"484976 (2009 UN3)",Y,Y,2.328,0.5756,37.43,141.96,338.75,54.94,,,4.123,,0.2776,2460600.5,0.027,3.55,"Otto Matic"
"485652 (2011 WO41)",Y,Y,3.024,0.7292,20.14,111.08,126.39,150.80,,,4.609,,0.1875,2460600.5,0.0174,5.26,"Otto Matic"
"487577 (2014 YQ15)",Y,Y,0.9638,0.2358,10.92,81.83,252.34,230.94,,,,,1.042,2460600.5,0.00225,0.946,"Otto Matic"
