"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer","last_obs"
"523598 (2003 ED50)",Y,Y,1.416290659617821,.5469790726479909,33.72489113404072,173.4753526190634,94.01459602514768,258.768852695788,,,,,.5847570781357611,2460600.5,.0272846,1.68553117220879,"Otto Matic",2023-10-02
"523599 (2003 RM)",Y,N,2.920698070514162,.6018739960299592,10.8640432034307,336.3890557577392,324.8314767881466,92.90470840895101,,,,,.1974577019296695,2460600.5,.178157,4.99158186150985,"Otto Matic",2023-12-08
"523600 (2003 RC2)",Y,N,1.524956036162449,.3711971668500976,42.31711098499914,165.634292518437,273.1443851730734,29.52721787766216,,,,,.5233811641916318,2460600.5,.257879,1.88319020782849,"Otto Matic",2021-04-13
"523602 (2004 LH)",Y,N,1.764920481515318,.3266598414200141,39.55708516167658,248.6597430392602,341.5591225981414,261.1279318950719,,,,,.4203551372132713,2460600.5,.190196,2.34474661092934,"Otto Matic",2021-11-27
"523603 (2004 QJ7)",Y,N,1.443711997157676,.3300990576074141,14.5073371560541,25.53007950837582,63.58150939070357,136.6613850617915,,,1.28,,.5681764457738965,2460600.5,.091533,1.73471866125155,"Otto Matic",2024-01-13
"523604 (2004 QB17)",Y,N,2.292752942910227,.503076434828983,4.820399840589628,288.9948688136046,148.8265814206355,246.3643432987058,,,74.97,,.2839018251614273,2460600.5,.161393,3.4717152058009,"Otto Matic",2021-08-11
"523605 (2004 RX10)",Y,N,.9198634019229799,.3512755303861627,5.95830142781967,173.596887938917,334.1166330818811,136.1924752091763,,,,,1.11716948244342,2460600.5,.0522728,0.882253139614807,"Otto Matic",2019-10-05
"523606 (2005 CJ)",Y,Y,1.749558768865454,.5255629964378111,1.081903214353879,357.8202589091239,81.98788198521834,203.3267337952659,,,,,.4259035606914232,2460600.5,.00732483,2.31420061801659,"Otto Matic",2019-04-02
"523607 (2005 CS6)",Y,N,2.619383963535884,.5482038759536495,23.45438816299233,313.552822005815,269.3570109628929,207.4445364653589,,,,,.2324905620412082,2460600.5,.450682,4.23942492423782,"Otto Matic",2022-07-05
"523608 (2005 EZ29)",Y,N,1.879947370396664,.4250187586874965,6.858474633505057,158.4415688627113,22.17134736223885,216.4180161806904,,,,,.3823715196186651,2460600.5,.0963737,2.57766656980758,"Otto Matic",2023-07-16
"523609 (2005 PJ2)",Y,Y,1.198148603118536,.6593887988406612,17.42465040701643,326.4311935551771,128.8882113951559,169.5328023146521,,,1.42,,.7515156780996265,2460600.5,.0445043,1.31151792582682,"Otto Matic",2022-08-18
"523610 (2005 TG)",Y,N,2.669447853527019,.5401752027864074,11.10854398312387,230.8978556874288,190.8415927202903,131.951545558217,,,100.316,,.2259809924420659,2460600.5,.241896,4.36154506941657,"Otto Matic",2022-09-16
"523611 (2005 UY5)",Y,N,2.227482398034716,.4170299827914586,7.133121335908159,56.51178291535643,261.9523646321211,307.5054699422989,,,,,.2964712965215258,2460600.5,.318152,3.32452515616801,"Otto Matic",2021-04-16
"523612 (2006 BH)",Y,N,3.239560809567343,.6448639287194999,31.08521356775247,306.0956965077631,249.1453465538594,64.52806232458722,,,,,.1690343115719715,2460600.5,.394755,5.83092435021925,"Otto Matic",2018-08-05
"523613 (2006 SJ198)",Y,N,2.089542267219306,.4554036943095141,2.422303188960254,266.5458202019936,212.847431403326,264.5057672302449,,,,,.326307708326259,2460600.5,.156928,3.02054244572757,"Otto Matic",2024-09-07
"523614 (2006 TH7)",Y,N,2.505608789932542,.8379123578283841,18.94300826663272,161.3728406046182,338.2843854368701,159.5214287447188,,,,,.2485044545187093,2460600.5,.252175,3.9662318539781,"Otto Matic",2022-10-14
"523616 (2007 LC15)",Y,N,1.313307307504393,.7383981191815785,28.38230115670767,107.0622171867614,341.18776812,214.4421810236736,,,,,.6548691512878894,2460600.5,.288037,1.50507361879726,"Otto Matic",2024-07-02
"523619 (2007 RX19)",Y,N,1.955806372030115,.5329476969234918,40.46596671170985,349.4353166901082,97.0801351963264,46.86372456476343,,,8.64,,.3603423353133349,2460600.5,.250841,2.73524975218498,"Otto Matic",2019-04-09
"523621 (2007 TK8)",Y,N,1.496560021658255,.1598800230439693,3.09797983661191,217.017683413967,171.9733542162487,97.88219967722411,,,,,.5383477033131657,2460600.5,.261748,1.83083586555992,"Otto Matic",2021-02-06
"523623 (2008 CB22)",Y,Y,2.365198266737633,.6533449173771814,7.271054631192729,51.17205037022183,33.41657892536803,227.6375730986798,,,,,.2709584790139447,2460600.5,.0464366,3.63755467979591,"Otto Matic",2019-04-24
"523625 (2008 DG17)",Y,N,1.83667800736484,.4502658323485547,41.09644014954988,324.3609707566228,215.0787628949884,233.9352193836609,,,3.643,,.3959629355426568,2460600.5,.0804816,2.48918824186608,"Otto Matic",2023-02-20
"523626 (2008 PH9)",Y,N,2.914815565624465,.5593520909554962,35.59151165111492,341.2304832022068,247.9189108198153,127.4896546454852,,,,,.1980557492406068,2460600.5,.517938,4.9765093270288,"Otto Matic",2023-10-13
"523628 (2008 RT26)",Y,N,2.245578153122063,.4617141311316175,2.220658566862638,7.046522154279842,30.81845167946995,274.2857776280756,,,,,.2928949017247869,2460600.5,.21668,3.36511928873955,"Otto Matic",2019-01-03
"523630 (2009 OG)",Y,Y,2.705784220412536,.8585666381032644,48.39384718202467,309.3327961457034,114.2000987797024,137.7354277914411,,,,,.221444212460178,2460600.5,.0431729,4.4509010753433,"Otto Matic",2023-04-08
"523631 (2009 SX1)",Y,N,1.722213346286285,.4471478135230902,8.291043724652566,335.012881578765,115.3862482556642,208.4076982440914,0.564,,4.1321,,.4360875099830186,2460600.5,.0736409,2.26015710334363,"Otto Matic",2020-08-23
"523632 (2009 UX17)",Y,N,1.189324396362598,.0834970045871596,10.80432761778723,216.0853499394425,278.648821675613,106.9568887961647,0.309,,,,.7598949923400785,2460600.5,.151623,1.29705590022688,"Otto Matic",2023-04-06
"523633 (2009 XR2)",Y,N,1.491032605557109,.2890102283181177,26.72286602733051,271.4743332558595,131.0837937631034,76.49273670549732,,,5.828,,.5413440440706647,2460600.5,.152451,1.82070218406041,"Otto Matic",2021-01-15
"523636 (2010 EX119)",Y,N,1.904766034897972,.5945922426301916,15.55331057687605,211.824628343758,22.33627702970199,174.4094971517632,0.550,,,,.3749225968723144,2460600.5,.156942,2.62887937827665,"Otto Matic",2023-11-07
"523637 (2010 LT108)",Y,N,1.349394520149934,.3707942738323109,31.86874840618933,161.1222172902332,9.497805881296239,105.2780615109078,0.602,,,,.6287755715312487,2460600.5,.13631,1.56753272231501,"Otto Matic",2024-06-04
"523638 (2010 MQ1)",Y,N,1.937886815652105,.5080353216225738,37.33725612665195,284.413082483067,285.5641591469735,137.7508856516188,,,,,.3653519770938721,2460600.5,.200429,2.69774449068963,"Otto Matic",2018-08-05
"523641 (2010 RO82)",Y,N,2.510985095858846,.6076206505397919,18.08659359008605,21.19069636698045,66.51663485211024,158.0170760243092,,,12.4809,,.2477067672483266,2460600.5,.166657,3.97900426506904,"Otto Matic",2023-05-24
"523648 (2010 WP8)",Y,N,2.002599206651005,.4426023311411379,18.15621760802986,269.7557717516299,218.4053295519778,294.8243636054071,,,,,.3477867356029995,2460600.5,.183563,2.83399618924125,"Otto Matic",2024-09-23
"523650 (2011 GQ61)",Y,Y,1.590110793165048,.412142874173399,65.1563981380379,333.5131442379683,155.0903248047647,279.2287218244181,,,,,.491544675075387,2460600.5,.0265833,2.00516114474517,"Otto Matic",2024-09-07
"523651 (2011 GA62)",Y,N,2.286056486764002,.4986356930159908,9.979339033277801,264.2451343361111,12.45855709871011,297.4435343917935,,,2.6511,,.2851501720538171,2460600.5,.134682,3.45651653046009,"Otto Matic",2018-10-12
"523654 (2011 SR5)",Y,Y,1.178185995334055,.7056533613824503,29.12674192340922,180.104153001998,305.548521952508,36.93373061739687,,,10.07,,.7706963278485917,2460600.5,.000164241,1.27887761723083,"Otto Matic",2020-09-06
